,Weapon,count
0,Tentatek Splattershot,0.08565106278543685
1,Splash-o-matic,0.05564551410644927
2,Custom Splattershot Jr.,0.05201353024030048
3,E-liter 4K,0.041421688932519525
4,Splattershot Jr.,0.037720346579025996
5,.52 Gal,0.0369080519868539
6,Aerospray RG,0.02844098126253788
7,Splattershot,0.027882111912586965
8,Splatana Stamper,0.026365561910452858
9,Bloblobber,0.025163792735498743
10,N-ZAP '85,0.025059755004481626
11,Sloshing Machine,0.023853984378334542
12,Dualie Squelchers,0.02354320500234752
13,Hydra Splatling,0.02212002219471595
14,Tri-Stringer,0.02111699176234581
15,Heavy Splatling,0.02101428784839302
16,Splat Roller,0.020944929361048272
17,Forge Splattershot Pro,0.020562123863587863
18,Flingza Roller,0.019340347432668915
19,Range Blaster,0.018630756754449612
20,Dark Tetra Dualies,0.018327980280848522
21,Inkbrush,0.017533025310512613
22,Dapple Dualies Nouveau,0.017038179179649154
23,Nautilus 47,0.01662202825558069
24,Dynamo Roller,0.016339259037944427
25,Sploosh-o-matic,0.014515931111016261
26,Explosher,0.013610269324341628
27,Splatana Wiper,0.013523571215160698
28,Carbon Roller Deco,0.012711276622988604
29,Clash Blaster,0.01121740151094797
30,Classic Squiffer,0.011134704852960007
31,Hero Shot Replica,0.010666535063382988
32,Jet Squelcher,0.010489137393828162
33,Splattershot Nova,0.00965150027743395
34,Tri-Slosher,0.00939140594989116
35,E-liter 4K Scope,0.009314044560160484
36,Octobrush,0.009234015536301165
37,Squeezer,0.009145983610055914
38,Slosher,0.008848542404712108
39,Splat Dualies,0.008717828332408554
40,Glooga Dualies,0.008625794954970336
41,Dapple Dualies,0.008477741260830595
42,Splat Charger,0.007720133168295702
43,Rapid Blaster,0.007322655683127748
44,Aerospray MG,0.006135558495881173
45,Splatterscope,0.005974166631098211
46,Blaster,0.005719407571812711
47,REEF-LUX 450,0.00547131759784882
48,Ballpoint Splatling,0.005220559989756285
49,Luna Blaster Neo,0.004369584702718853
50,.96 Gal,0.0043282363737248706
51,Inkbrush Nouveau,0.004029461351316745
52,Bamboozler 14 Mk I,0.003940095608007171
53,Luna Blaster,0.003926757437363951
54,Splattershot Pro,0.003873404754791071
55,Undercover Brella,0.003818718255153869
56,Tenta Brella,0.0035799650006402323
57,Big Swig Roller,0.003405234965214051
58,Goo Tuber,0.0029557386145375388
59,Splat Brella,0.002875709590678219
60,Zink Mini Splatling,0.0028170216398480516
61,Slosher Deco,0.002215470143838832
62,H-3 Nozzlenose,0.0021781232660378165
63,Rapid Blaster Pro,0.0021141000469503605
64,L-3 Nozzlenose,0.0020660826326347687
65,Carbon Roller,0.0018993554995945195
66,Snipewriter 5H,0.001795317768577404
67,Mini Splatling,0.0017126211105894405
