,Weapon,count,countp
0,Splattershot,39640,0.06733068811827372
1,Splattershot Jr.,37122,0.06305372866615937
2,Splash-o-matic,33702,0.05724467333405805
3,.52 Gal,31012,0.05267556256114795
4,Sloshing Machine,29386,0.04991371344711382
5,E-liter 4K,24882,0.042263425372323075
6,Dualie Squelchers,20036,0.034032231764322206
7,Flingza Roller,18987,0.032250448418306335
8,N-ZAP '85,18595,0.03158461517556256
9,Splat Roller,18511,0.03144193662354604
10,Bloblobber,17787,0.030212183389498857
11,Hydra Splatling,17385,0.029529364604848354
12,Hero Shot Replica,16872,0.028658006305033155
13,REEF-LUX 450,15151,0.025734794542885096
14,Range Blaster,14264,0.024228176975758235
15,Tri-Stringer,13304,0.02259756495271225
16,Heavy Splatling,12041,0.02045229100989238
17,Inkbrush,11727,0.01991894499402109
18,Dark Tetra Dualies,11286,0.01916988259593434
19,Dapple Dualies,11045,0.018760531035982173
20,Aerospray MG,9912,0.01683606913794978
21,Sploosh-o-matic,9829,0.016695089140123926
22,Explosher,8434,0.014325606044135231
23,Clash Blaster,8200,0.013928144363517773
24,Octobrush,7618,0.012939585824546147
25,Splat Charger,7317,0.012428321013153604
26,Splat Dualies,7182,0.012199016197412762
27,Splatana Stamper,6922,0.011757392107837808
28,Splattershot Pro,6748,0.011461843678660724
29,Classic Squiffer,6657,0.011307275247309491
30,Glooga Dualies,6643,0.01128349548864007
31,Blaster,6543,0.011113640069572779
32,Splatana Wiper,6330,0.010751848026959452
33,Tri-Slosher,6324,0.010741656701815415
34,E-liter 4K Scope,6180,0.010497064898358516
35,.96 Gal,5101,0.008664324926622459
36,Dynamo Roller,4897,0.008317819871725187
37,Luna Blaster,4802,0.008156457223611262
38,Squeezer,4735,0.008042654092836178
39,Nautilus 47,4665,0.007923755299489075
40,Slosher,4591,0.007798062289379281
41,Carbon Roller,4263,0.007240936514838569
42,Splatterscope,4200,0.007133927600826177
43,Rapid Blaster,3937,0.006687207848679204
44,Jet Squelcher,3722,0.006322018697684531
45,Ballpoint Splatling,3099,0.0052638194368953145
46,Goo Tuber,2882,0.004895233177519296
47,Undercover Brella,2720,0.004620067398630286
48,Bamboozler 14 Mk I,2086,0.003543184041743668
49,Rapid Blaster Pro,1966,0.00333935753886292
50,Tenta Brella,1708,0.002901130557669312
51,Mini Splatling,1660,0.0028195999565170126
52,L-3 Nozzlenose,1609,0.002732973692792695
53,H-3 Nozzlenose,1296,0.0022013262311120774
54,Splat Brella,1223,0.002077331775192956
