,Weapon,count,countp
0,Tentatek Splattershot,75785,0.05643938491236014
1,Neo Splash-o-matic,63609,0.04737154891984319
2,E-liter 4K,44481,0.03312634796182214
3,Sloshing Machine,42294,0.031497622820919176
4,Custom Splattershot Jr.,40790,0.030377548467047173
5,Splattershot Jr.,39994,0.02978474315741811
6,Aerospray RG,37835,0.028176870464592545
7,Splash-o-matic,34624,0.02578554150828736
8,.52 Gal,32744,0.024385448565947355
9,Splattershot,30791,0.02293099031254841
10,Splatana Stamper,29125,0.021690269651942852
11,Bloblobber,29120,0.02168654600050046
12,Dapple Dualies Nouveau,28765,0.021422166748090513
13,Heavy Splatling,27262,0.02030283712450699
14,Hydra Splatling,26314,0.01959683281102916
15,Sploosh-o-matic,25301,0.01884242102880021
16,Dark Tetra Dualies,25075,0.018674111983604018
17,Splatana Wiper,24983,0.018605596797063976
18,Dualie Squelchers,24695,0.018391114473982104
19,N-ZAP '89,23808,0.017730538708101474
20,Flingza Roller,23566,0.017550313978289624
21,Tri-Stringer,22490,0.016748984187886513
22,Splat Roller,22141,0.01648907331720744
23,Range Blaster,21805,0.01623884394027859
24,Inkbrush,21504,0.016014680123446492
25,REEF-LUX 450,21500,0.016011701202292578
26,Custom Jet Squelcher,21416,0.015949143858060365
27,Forge Splattershot Pro,20046,0.014928863362844512
28,Ballpoint Splatling,19670,0.014648844774376512
29,Tri-Slosher Nouveau,19225,0.01431743979600348
30,Nautilus 47,18805,0.014004653074842416
31,Explosher,17130,0.01275722984164055
32,Rapid Blaster Deco,16807,0.012516681958461923
33,N-ZAP '85,16503,0.012290283950764392
34,Splat Dualies,15771,0.011745141379597965
35,.96 Gal Deco,15512,0.011552256234881975
36,Classic Squiffer,15400,0.011468846442572359
37,Dynamo Roller,15286,0.011383947189685783
38,Octobrush,13907,0.010356964121873622
39,Krak-On Splat Roller,13704,0.010205783873312441
40,Hero Shot Replica,13098,0.009754477318494334
41,Splattershot Nova,12695,0.009454351012237409
42,Carbon Roller Deco,12416,0.009246571261751844
43,Aerospray MG,12048,0.008972510515591673
44,Tri-Slosher,11638,0.008667171097315397
45,Dapple Dualies,10825,0.008061705372782193
46,E-liter 4K Scope,10802,0.008044576576147183
47,Slosher,10611,0.007902333091047747
48,Glooga Dualies,10111,0.007529967946808384
49,Clash Blaster,9699,0.007223139067955149
50,Z+F Splat Charger,9446,0.007034722304970032
51,Luna Blaster Neo,8896,0.006625120646306734
52,Inkbrush Nouveau,8394,0.006251266041490414
53,Neo Sploosh-o-matic,8355,0.0062222215602397435
54,Big Swig Roller,7592,0.005653992350130477
55,Squeezer,7129,0.005309182226564828
56,Z+F Splatterscope,7123,0.005304713844833955
57,Undercover Brella,7094,0.005283116666468072
58,Blaster,6432,0.004790105215495157
59,Clash Blaster Neo,6020,0.004483276336641921
60,Splat Charger,5969,0.004445295091929507
61,L-3 Nozzlenose D,5554,0.004136232022210836
62,Mini Splatling,5529,0.004117613764998868
63,Tenta Brella,5495,0.004092292935190592
64,Luna Blaster,5102,0.0037996139318184526
65,Goo Tuber,4213,0.0031375487053608665
66,Splatterscope,3969,0.0029558345149720577
67,Jet Squelcher,3948,0.0029401951789140043
68,Splattershot Pro,3787,0.00282029360246893
69,Bamboozler 14 Mk I,3754,0.002795717502949132
70,Zink Mini Splatling,3735,0.0027815676274680363
71,Slosher Deco,3494,0.0026020876279446636
72,Rapid Blaster,3441,0.0025626169226552913
73,Splat Brella,3314,0.002468036176018493
74,Snipewriter 5H,2515,0.0018729966755239922
75,H-3 Nozzlenose,2305,0.0017166033149434601
76,Carbon Roller,2166,0.0016130858048449173
77,.96 Gal,1761,0.001311470038011034
78,Rapid Blaster Pro,1755,0.0013070016562801616
79,L-3 Nozzlenose,955,0.000711217425497182
