,Weapon,count,countp
0,Tentatek Splattershot,26217,0.047686000320125724
1,Splattershot,23988,0.04363168080555273
2,Neo Splash-o-matic,18029,0.03279287865780015
3,Annaki Splattershot Nova,17086,0.031077659589948053
4,Splattershot Jr.,16154,0.02938244837972731
5,E-liter 4K,16109,0.029300598053053562
6,Painbrush,15320,0.02786548899204051
7,Splatana Wiper Deco,14564,0.02649040350392154
8,Custom Splattershot Jr.,12885,0.02343647687091658
9,S-BLAST '92,12451,0.022647075942551984
10,Splash-o-matic,12131,0.02206502917509422
11,Hero Shot Replica,11263,0.02048622731836503
12,Heavy Splatling Deco,11136,0.02025522750753023
13,.52 Gal,11048,0.020095164646479344
14,Tenta Sorella Brella,10309,0.018751000392881568
15,Aerospray RG,9801,0.017827001149542367
16,Bloblobber,9651,0.01755416672729654
17,Carbon Roller Deco,9364,0.017032143532732854
18,Light Tetra Dualies,9147,0.01663744306855056
19,Dapple Dualies Nouveau,8950,0.01627912052733437
20,Sploosh-o-matic,8863,0.01612087656243179
21,Hydra Splatling,8776,0.01596263259752921
22,Ballpoint Splatling,8419,0.015313286672584142
23,Splat Roller,8237,0.014982247573592539
24,Clash Blaster,8110,0.014751247762757737
25,Flingza Roller,7591,0.013807240661787174
26,Inkbrush,7169,0.013039666487202247
27,Tri-Stringer,7052,0.012826855637850501
28,Dualie Squelchers,6935,0.012614044788498755
29,Rapid Blaster Pro Deco,6843,0.012446706342854648
30,Range Blaster,6700,0.01218660419364696
31,Nautilus 47,6575,0.01195924217510877
32,N-ZAP '85,6501,0.011824643860134161
33,Forge Splattershot Pro,6392,0.011626384179968861
34,Heavy Splatling,6374,0.011593644049299362
35,Sloshing Machine,6367,0.011580911776261223
36,N-ZAP '89,6340,0.011531801580256974
37,Custom Dualie Squelchers,6067,0.011035242931769568
38,Splatana Stamper,5998,0.010909739097536487
39,Explosher,5990,0.010895187928350043
40,Tri-Slosher Nouveau,5951,0.010824250978566128
41,Custom Jet Squelcher,5945,0.010813337601676295
42,Squeezer,5639,0.010256755380294807
43,Splatana Wiper,5559,0.010111243688430365
44,Dark Tetra Dualies,5487,0.009980283165752368
45,Big Swig Roller Express,5480,0.00996755089271423
46,Tri-Slosher,5329,0.009692897574320097
47,Dynamo Roller,5079,0.009238173537243717
48,Octobrush,4755,0.00864885118519273
49,REEF-LUX 450,4548,0.008272339682493489
50,Slosher,4543,0.008263245201751961
51,Splat Dualies,4491,0.008168662602040074
52,Classic Squiffer,4353,0.007917654933573912
53,H-3 Nozzlenose D,3748,0.0068172227638490755
54,.96 Gal Deco,3743,0.006808128283107548
55,E-liter 4K Scope,3615,0.006575309576124441
56,Rapid Blaster Deco,3516,0.0063952388574421955
57,Aerospray MG,3370,0.00612968001978959
58,Glooga Dualies,3313,0.006026002939336176
59,Krak-On Splat Roller,2821,0.005131106034369862
60,Luna Blaster Neo,2820,0.005129287138221556
61,Dapple Dualies,2814,0.005118373761331723
62,Z+F Splat Charger,2652,0.00482371258530623
63,Blaster,2549,0.004636366282030761
64,Inkbrush Nouveau,2418,0.004398090886602739
65,Undercover Brella,2095,0.0038105874307000566
66,Splattershot Nova,2073,0.0037705717154373356
67,Splat Charger,2070,0.003765115026992419
68,Z+F Splatterscope,2006,0.0036487056735008657
69,Neo Sploosh-o-matic,1875,0.0034104302780728433
70,Clash Blaster Neo,1629,0.002962981825589686
71,Luna Blaster,1464,0.002662863961119276
72,Splatterscope,1274,0.0023172736929412277
73,Mini Splatling,1268,0.0023063603160513946
74,Bamboozler 14 Mk I,1114,0.0020262503092123452
75,Jet Squelcher,1074,0.0019534944632801244
76,Splat Brella,1052,0.0019134787480174032
77,Zink Mini Splatling,1007,0.001831628421343655
78,L-3 Nozzlenose D,1006,0.0018298095251953494
79,Snipewriter 5H,974,0.001771604848449573
80,Goo Tuber,931,0.0016933923140724358
81,Splattershot Pro,869,0.0015806207528774937
82,Rapid Blaster,753,0.0013696287996740539
83,Carbon Roller,685,0.0012459438615892787
84,Big Swig Roller,676,0.001229573796254529
85,Tenta Brella,623,0.0011331723003943368
86,.96 Gal,571,0.00103858970068245
87,Slosher Deco,499,0.0009076291780044526
88,H-3 Nozzlenose,297,0.0005402121560467383
89,L-3 Nozzlenose,238,0.00043289728329671287
90,Rapid Blaster Pro,221,0.0004019760487755191
