,Weapon,count,countp
0,Tentatek Splattershot,66717,0.08097194982231974
1,Splash-o-matic,55990,0.06795298755267297
2,Custom Splattershot Jr.,40792,0.04950773831485329
3,Aerospray RG,36385,0.04415912577431695
4,Splattershot Jr.,34357,0.04169781734858341
5,E-liter 4K,31412,0.038123580014369766
6,.52 Gal,30170,0.03661621065304775
7,Splattershot,21291,0.025840097481406685
8,Sloshing Machine,21267,0.025810969571042973
9,Bloblobber,21080,0.025584014602792395
10,Splatana Stamper,20485,0.02486188515835874
11,Heavy Splatling,19189,0.02328897799871837
12,Dualie Squelchers,18605,0.02258019884653475
13,Splat Roller,18126,0.02199885430219236
14,Hydra Splatling,17438,0.021163854205099326
15,Flingza Roller,17307,0.021004864361030738
16,N-ZAP '85,17302,0.020998796046371632
17,Forge Splattershot Pro,16144,0.0195933743713226
18,Inkbrush,15239,0.01849500941802435
19,Tri-Stringer,14690,0.017828708468454472
20,Sploosh-o-matic,14224,0.01726314154222576
21,Dark Tetra Dualies,13869,0.01683229120142921
22,Dapple Dualies Nouveau,13605,0.016511884187428393
23,Range Blaster,12721,0.01543900615569839
24,Nautilus 47,11518,0.013978969648717402
25,Explosher,10970,0.013313882362079345
26,Splatana Wiper,10728,0.013020175932578596
27,Dynamo Roller,9794,0.01188661475425753
28,Classic Squiffer,9525,0.011560139425597608
29,Carbon Roller Deco,9404,0.011413286210847234
30,Tri-Slosher,8739,0.01060620036118609
31,Hero Shot Replica,8707,0.010567363147367809
32,Octobrush,8245,0.01000665087286638
33,Clash Blaster,7936,0.009631629026933607
34,Dapple Dualies,7689,0.009331854282773755
35,Splat Dualies,7481,0.00907941239295493
36,REEF-LUX 450,7376,0.008951977785113696
37,E-liter 4K Scope,7004,0.008500495174476184
38,Splat Charger,6659,0.008081781462997845
39,Glooga Dualies,6427,0.00780021166281531
40,Aerospray MG,6231,0.007562333728178341
41,Jet Squelcher,5743,0.0069700662174495605
42,Slosher,5731,0.006955502262267705
43,Splattershot Nova,5526,0.006706701361244344
44,Rapid Blaster,5439,0.006601112686175894
45,.96 Gal,5311,0.006445763830902771
46,Squeezer,5241,0.006360807425675282
47,Splatterscope,4970,0.006031904771151717
48,Blaster,4533,0.005501534069945822
49,Ballpoint Splatling,4501,0.005462696856127542
50,Inkbrush Nouveau,4027,0.004887420626444259
51,Luna Blaster Neo,3858,0.004682311590966464
52,Luna Blaster,3323,0.004033001922442084
53,Undercover Brella,3274,0.003973532438782842
54,Big Swig Roller,3096,0.0037575004369186553
55,Bamboozler 14 Mk I,2899,0.003518408839349865
56,Tenta Brella,2764,0.0033545643435539934
57,Splattershot Pro,2605,0.0031615919373944113
58,Goo Tuber,2438,0.002958910227780259
59,Zink Mini Splatling,2429,0.0029479872613938675
60,L-3 Nozzlenose,2363,0.002867885507893664
61,H-3 Nozzlenose,1865,0.0022634813678466706
62,Splat Brella,1728,0.0020972095461871563
63,Carbon Roller,1663,0.002018321455618774
64,Mini Splatling,1638,0.001987979882323242
65,Rapid Blaster Pro,1474,0.0017889391615045537
66,Snipewriter 5H,1388,0.0016845641493679244
67,Slosher Deco,1287,0.001561984193253976
