,Weapon,count
0,Tentatek Splattershot,0.0541769250963169
1,Neo Splash-o-matic,0.05134684016716214
2,Sloshing Machine,0.03533127336970789
3,E-liter 4K,0.03253134290234921
4,Splattershot Jr.,0.03135709268417281
5,Custom Splattershot Jr.,0.03031765064814355
6,Aerospray RG,0.028017929488225568
7,Splash-o-matic,0.02672572211067042
8,Splattershot,0.0247710034695369
9,.52 Gal,0.023707615243257818
10,Ballpoint Splatling,0.023462831965148537
11,Splatana Stamper,0.022822493099949624
12,Bloblobber,0.022227385927444818
13,Sploosh-o-matic,0.02131388311421091
14,Splatana Wiper,0.02031169070745915
15,Dark Tetra Dualies,0.019691750448769342
16,Dualie Squelchers,0.019612816710538453
17,Heavy Splatling,0.019297968653550067
18,Hydra Splatling,0.019191541141328643
19,Dapple Dualies Nouveau,0.018668272539573295
20,Flingza Roller,0.018484685080991336
21,Splat Roller,0.01648207405935817
22,Tri-Stringer,0.01604217367550961
23,Range Blaster,0.015598725707920336
24,N-ZAP '89,0.015532208512781944
25,Inkbrush,0.015519791969689445
26,REEF-LUX 450,0.015423120312754982
27,Custom Jet Squelcher,0.015242193541978559
28,Nautilus 47,0.014785442135361605
29,Forge Splattershot Pro,0.014058187468515195
30,Explosher,0.012712766334849334
31,Tri-Slosher Nouveau,0.012172646710325597
32,Dynamo Roller,0.012045820591595065
33,Octobrush,0.011484415464627043
34,N-ZAP '85,0.011466677545923471
35,Splat Dualies,0.010962033758806876
36,Classic Squiffer,0.010302183183034035
37,Rapid Blaster Deco,0.010084893678915291
38,Aerospray MG,0.009848979360157797
39,.96 Gal Deco,0.009786896644695299
40,Tri-Slosher,0.00966361810970548
41,Carbon Roller Deco,0.009281365961643525
42,Hero Shot Replica,0.008994011678645674
43,Glooga Dualies,0.008810424220063715
44,Krak-On Splat Roller,0.008325292143521047
45,Splattershot Nova,0.008280947346762121
46,E-liter 4K Scope,0.007380747972555893
47,Inkbrush Nouveau,0.0070455013090584
48,Clash Blaster,0.006860140058606083
49,Dapple Dualies,0.00678298011224555
50,Luna Blaster Neo,0.006615356780496804
51,Slosher,0.006099183346222887
52,Squeezer,0.006094748866546994
53,Z+F Splat Charger,0.005875685570557893
54,Neo Sploosh-o-matic,0.005503189277782902
55,Blaster,0.005144883319970768
56,Z+F Splatterscope,0.005117389545980233
57,Big Swig Roller,0.004732476710112742
58,Tenta Brella,0.004714738791409171
59,Undercover Brella,0.004685471225548279
60,Mini Splatling,0.004569287858039889
61,Splat Charger,0.004446009323050071
62,Clash Blaster Neo,0.0039005683229152623
63,L-3 Nozzlenose D,0.0037089988009166956
64,Luna Blaster,0.0033861686805117036
65,Bamboozler 14 Mk I,0.0027538118787293975
66,Splatterscope,0.0027360739600258265
67,Splattershot Pro,0.0026810864120447564
68,Goo Tuber,0.002666009181146721
69,Jet Squelcher,0.002506367912814582
70,Rapid Blaster,0.0023830893778247634
71,Splat Brella,0.0023653514591211924
72,Zink Mini Splatling,0.00223852534039066
73,H-3 Nozzlenose,0.0021622522899653047
74,Rapid Blaster Pro,0.0016851022768392448
75,Slosher Deco,0.0016567216069135313
76,Carbon Roller,0.0015565023662383552
77,.96 Gal,0.0015511809906272839
78,Snipewriter 5H,0.001451848645887286
79,L-3 Nozzlenose,0.0006669457432542695
